DATAFLOW,LAST UPDATE,freq,size_emp,nace_r2,indic_is,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ISOC_EB_IOT$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_IOT1,PC_ENT,AL,2021,35.3,
ESTAT:ISOC_EB_IOT$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_IOT1,PC_ENT,AT,2021,50.8,
ESTAT:ISOC_EB_IOT$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_IOT1,PC_ENT,BA,2021,17.2,
ESTAT:ISOC_EB_IOT$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_IOT1,PC_ENT,BE,2021,28.2,
ESTAT:ISOC_EB_IOT$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_IOT1,PC_ENT,BG,2021,15.0,
ESTAT:ISOC_EB_IOT$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_IOT1,PC_ENT,CY,2021,33.3,
ESTAT:ISOC_EB_IOT$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_IOT1,PC_ENT,CZ,2021,31.4,
ESTAT:ISOC_EB_IOT$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_IOT1,PC_ENT,DE,2021,35.6,
ESTAT:ISOC_EB_IOT$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_IOT1,PC_ENT,DK,2021,20.0,
ESTAT:ISOC_EB_IOT$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_IOT1,PC_ENT,EA,2021,30.5,
ESTAT:ISOC_EB_IOT$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_IOT1,PC_ENT,EE,2021,17.4,
ESTAT:ISOC_EB_IOT$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_IOT1,PC_ENT,EL,2021,22.8,
ESTAT:ISOC_EB_IOT$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_IOT1,PC_ENT,ES,2021,27.5,
ESTAT:ISOC_EB_IOT$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_IOT1,PC_ENT,EU27_2020,2021,28.7,
ESTAT:ISOC_EB_IOT$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_IOT1,PC_ENT,FI,2021,40.5,
ESTAT:ISOC_EB_IOT$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_IOT1,PC_ENT,FR,2021,22.0,
ESTAT:ISOC_EB_IOT$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_IOT1,PC_ENT,HR,2021,23.2,
ESTAT:ISOC_EB_IOT$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_IOT1,PC_ENT,HU,2021,22.3,
ESTAT:ISOC_EB_IOT$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_IOT1,PC_ENT,IE,2021,34.0,
ESTAT:ISOC_EB_IOT$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_IOT1,PC_ENT,IT,2021,32.3,
ESTAT:ISOC_EB_IOT$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_IOT1,PC_ENT,LT,2021,28.4,
ESTAT:ISOC_EB_IOT$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_IOT1,PC_ENT,LU,2021,22.2,
ESTAT:ISOC_EB_IOT$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_IOT1,PC_ENT,LV,2021,28.4,
ESTAT:ISOC_EB_IOT$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_IOT1,PC_ENT,ME,2021,,u
ESTAT:ISOC_EB_IOT$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_IOT1,PC_ENT,MK,2021,17.3,
ESTAT:ISOC_EB_IOT$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_IOT1,PC_ENT,MT,2021,28.0,
ESTAT:ISOC_EB_IOT$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_IOT1,PC_ENT,NL,2021,20.7,
ESTAT:ISOC_EB_IOT$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_IOT1,PC_ENT,NO,2021,23.6,
ESTAT:ISOC_EB_IOT$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_IOT1,PC_ENT,PL,2021,18.6,
ESTAT:ISOC_EB_IOT$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_IOT1,PC_ENT,PT,2021,23.4,
ESTAT:ISOC_EB_IOT$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_IOT1,PC_ENT,RO,2021,10.5,
ESTAT:ISOC_EB_IOT$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_IOT1,PC_ENT,RS,2021,19.6,
ESTAT:ISOC_EB_IOT$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_IOT1,PC_ENT,SE,2021,40.3,
ESTAT:ISOC_EB_IOT$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_IOT1,PC_ENT,SI,2021,49.5,
ESTAT:ISOC_EB_IOT$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_IOT1,PC_ENT,SK,2021,27.4,
ESTAT:ISOC_EB_IOT$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_IOT1,PC_ENT,TR,2021,21.1,
